_id,NAMA BARANG,VOLUME TERJUAL (KG/LITER/BUTIR),HARGA RERATA (Rp),TOTAL OMZET (Rp)
1,Beras, 810 ," 8.800,00 "," 7.128.000,00 "
2,Bawang Merah, 12 ," 43.000,00 "," 516.000,00 "
3,Bawang Putih, 12 ," 23.000,00 "," 276.000,00 "
4,Gula Pasir, 250 ," 12.500,00 "," 3.125.000,00 "
5,Garam, 15 ," 6.000,00 "," 90.000,00 "
6,Minyak Goreng, 107 ," 11.500,00 "," 1.230.500,00 "
7,Telur Ayam Ras, 185 ," 1.450,00 "," 268.250,00 "
8,Daging Ayam, 13 ," 28.000,00 "," 364.000,00 "
9,Daging Sapi, - , - , - 
10,Nugget Ayam, 25 ," 17.000,00 "," 425.000,00 "
11,Daging Kerbau, 56 ," 78.000,00 "," 4.368.000,00 "
12,Cabe Merah Keriting, - ," 30.000,00 ", - 
13,Cabe Rawit Merah, 26 ," 17.000,00 "," 442.000,00 "
14,JUMLAH TOTAL, 1.511 ," 276.250,00 "," 18.232.750,00 "
